server,spec_id,bucket_timestamp,bucket_str,rmb_per_wan,trading_volume,fetched_at
三清山,324996,1787014800000,2026-08-18 09,5.304,980,2026-08-18T21:31:03.145Z
三清山,324996,1787018400000,2026-08-18 10,5.34,4536,2026-08-18T21:31:03.145Z
三清山,324996,1787022000000,2026-08-18 11,5.313,857,2026-08-18T21:31:03.145Z
三清山,324996,1787025600000,2026-08-18 12,5.347,1500,2026-08-19T04:44:23.544Z
三清山,324996,1787029200000,2026-08-18 13,5.392,2478,2026-08-19T04:44:23.544Z
三清山,324996,1787032800000,2026-08-18 14,5.347,2131,2026-08-19T06:58:01.189Z
三清山,324996,1787036400000,2026-08-18 15,5.298,1251,2026-08-19T06:58:01.189Z
三清山,324996,1787040000000,2026-08-18 16,5.299,1244,2026-08-19T06:58:01.189Z
三清山,324996,1787043600000,2026-08-18 17,5.303,1989,2026-08-19T09:41:05.100Z
三清山,324996,1787047200000,2026-08-18 18,5.387,4260,2026-08-19T10:37:26.793Z
三清山,324996,1787050800000,2026-08-18 19,5.405,4486,2026-08-19T11:31:54.774Z
三清山,324996,1787054400000,2026-08-18 20,5.354,589,2026-08-19T11:31:54.774Z
三清山,324996,1787058000000,2026-08-18 21,5.346,2861,2026-08-19T13:50:27.278Z
三清山,324996,1787061600000,2026-08-18 22,5.285,2340,2026-08-19T14:41:19.550Z
三清山,324996,1787065200000,2026-08-18 23,5.276,4376,2026-08-19T14:41:19.550Z
三清山,324996,1787068800000,2026-08-19 00,5.29,1305,2026-08-19T14:41:19.550Z
三清山,324996,1787072400000,2026-08-19 01,5.292,794,2026-08-19T17:33:08.544Z
三清山,324996,1787076000000,2026-08-19 02,5.327,382,2026-08-19T17:33:08.544Z
三清山,324996,1787079600000,2026-08-19 03,5.365,140,2026-08-19T19:33:44.606Z
三清山,324996,1787085540609,2026-08-19 04,5.356,0,2026-08-19T20:38:50.649Z
三清山,324996,1787086800000,2026-08-19 05,5.356,797,2026-08-19T20:38:50.649Z
三清山,324996,1787090400000,2026-08-19 06,5.123,102,2026-08-19T22:31:46.289Z
三清山,324996,1787094000000,2026-08-19 07,5.209,65,2026-08-19T22:31:46.289Z
三清山,324996,1787097600000,2026-08-19 08,5.275,1008,2026-08-19T22:31:46.289Z
三清山,324996,1787101200000,2026-08-19 09,5.244,1141,2026-08-19T22:31:46.289Z
三清山,324996,1787104800000,2026-08-19 10,5.206,1297,2026-08-19T22:31:46.289Z
三清山,324996,1787108400000,2026-08-19 11,5.237,1168,2026-08-20T03:04:01.847Z
三清山,324996,1787112000000,2026-08-19 12,5.28,3677,2026-08-20T04:44:01.319Z
三清山,324996,1787115600000,2026-08-19 13,5.271,1805,2026-08-20T05:37:37.960Z
三清山,324996,1787119200000,2026-08-19 14,5.247,1198,2026-08-20T06:56:43.265Z
三清山,324996,1787122800000,2026-08-19 15,5.204,2145,2026-08-20T06:56:43.265Z
三清山,324996,1787126400000,2026-08-19 16,5.195,1381,2026-08-20T06:56:43.265Z
三清山,324996,1787130000000,2026-08-19 17,5.19,2208,2026-08-20T09:41:59.590Z
三清山,324996,1787133600000,2026-08-19 18,5.238,2255,2026-08-20T10:37:55.639Z
三清山,324996,1787137200000,2026-08-19 19,5.239,1993,2026-08-20T10:37:55.639Z
三清山,324996,1787140800000,2026-08-19 20,5.255,4074,2026-08-20T10:37:55.639Z
三清山,324996,1787144400000,2026-08-19 21,5.223,2504,2026-08-20T13:53:01.692Z
三清山,324996,1787148000000,2026-08-19 22,5.23,3799,2026-08-20T14:42:43.646Z
三清山,324996,1787151600000,2026-08-19 23,5.233,1849,2026-08-20T15:40:28.428Z
三清山,324996,1787155200000,2026-08-20 00,5.258,2223,2026-08-20T16:42:19.374Z
三清山,324996,1787158800000,2026-08-20 01,5.254,1381,2026-08-20T16:42:19.374Z
三清山,324996,1787162400000,2026-08-20 02,5.225,750,2026-08-20T18:50:38.717Z
三清山,324996,1787166000000,2026-08-20 03,5.286,993,2026-08-20T19:37:03.444Z
三清山,324996,1787169600000,2026-08-20 04,5.314,723,2026-08-20T19:37:03.444Z
三清山,324996,1787173200000,2026-08-20 05,5.321,101,2026-08-20T21:34:44.696Z
三清山,324996,1787178900087,2026-08-20 06,5.321,0,2026-08-20T22:34:52.319Z
三清山,324996,1787180400000,2026-08-20 07,5.321,2,2026-08-20T23:32:38.454Z
三清山,324996,1787184000000,2026-08-20 08,5.321,0,2026-08-20T23:32:38.454Z
三清山,324996,1787187600000,2026-08-20 09,5.321,229,2026-08-21T01:46:30.400Z
三清山,324996,1787191200000,2026-08-20 10,5.29,2422,2026-08-21T01:46:30.400Z
三清山,324996,1787194800000,2026-08-20 11,5.27,1580,2026-08-21T03:10:00.109Z
三清山,324996,1787198400000,2026-08-20 12,5.24,1073,2026-08-21T03:10:00.109Z
三清山,324996,1787202000000,2026-08-20 13,5.225,2090,2026-08-21T05:39:01.101Z
三清山,324996,1787205600000,2026-08-20 14,5.223,1116,2026-08-21T06:58:14.067Z
三清山,324996,1787209200000,2026-08-20 15,5.209,2139,2026-08-21T07:50:12.943Z
三清山,324996,1787212800000,2026-08-20 16,5.192,2934,2026-08-21T07:50:12.943Z
三清山,324996,1787216400000,2026-08-20 17,5.186,1556,2026-08-21T09:44:07.016Z
三清山,324996,1787220000000,2026-08-20 18,5.163,4658,2026-08-21T10:37:20.066Z
三清山,324996,1787223600000,2026-08-20 19,5.156,2852,2026-08-21T10:37:20.066Z
三清山,324996,1787227200000,2026-08-20 20,5.184,2916,2026-08-21T10:37:20.066Z
